Nom;Modèle;Marque;Capacité;RAM;Connectivité;Couleur;norm;tokens;EAN;PartNumber
+ frais de transport chrono;+ frais de transport chrono;;;;;;+ frais de transport chrono;{'de', '+', 'frais', 'chrono', 'transport'};;
Abonnement forfait convergence;Abonnement forfait convergence;;;;;;abonnement forfait convergence;{'abonnement', 'convergence', 'forfait'};;
Acompte;Acompte;;;;;;acompte;{'acompte'};;
activation de SIM;activation de SIM;;;;;;activation de sim;{'sim', 'de', 'activation'};;
Samsung Galaxy S25 Ultra S938 5G DS 12/1Tb Titanium Whitesilver;Galaxy S25 Ultra S938 DS Whitesilver;Samsung;1TB;12;5G;Titanium;samsung galaxy s25 ultra s938 5g ds 12 1tb titanium whitesilver;{'s938', '5g', '12', 'whitesilver', 'titanium', '1tb', 'galaxy', 'samsung', 'ds', 's25', 'ultra'};8806097022428;
Samsung Galaxy S25 Ultra S938 5G DS 12/256Gb Enterprise Edition Titanium Black;Galaxy S25 Ultra S938 DS Enterprise Edition Black;Samsung;256GB;12;5G;Titanium;samsung galaxy s25 ultra s938 5g ds 12 256gb enterprise edition titanium black;{'s938', 'black', '256gb', '5g', '12', 'enterprise', 'titanium', 'galaxy', 'samsung', 'ds', 's25', 'edition', 'ultra'};8806097202233;
Samsung Galaxy S25 Ultra S938 5G DS 12/256Gb Titanium Black;Galaxy S25 Ultra S938 DS Black;Samsung;256GB;12;5G;Titanium;samsung galaxy s25 ultra s938 5g ds 12 256gb titanium black;{'s938', 'black', '256gb', '5g', '12', 'titanium', 'galaxy', 'samsung', 'ds', 's25', 'ultra'};8806095815749;
Samsung Galaxy S25 Ultra S938 5G DS 12/256Gb Titanium Grey;Galaxy S25 Ultra S938 DS Grey;Samsung;256GB;12;5G;Titanium;samsung galaxy s25 ultra s938 5g ds 12 256gb titanium grey;{'s938', '256gb', '5g', '12', 'titanium', 'grey', 'galaxy', 'samsung', 'ds', 's25', 'ultra'};8806095859934;
Samsung Galaxy S25 Ultra S938 5G DS 12/256Gb Titanium Silverblue;Galaxy S25 Ultra S938 DS Silverblue;Samsung;256GB;12;5G;Titanium;samsung galaxy s25 ultra s938 5g ds 12 256gb titanium silverblue;{'s938', '256gb', '5g', '12', 'titanium', 'silverblue', 'galaxy', 'samsung', 'ds', 's25', 'ultra'};8806095859415;
Samsung Galaxy S25 Ultra S938 5G DS 12/256Gb Titanium Whitesilver;Galaxy S25 Ultra S938 DS Whitesilver;Samsung;256GB;12;5G;Titanium;samsung galaxy s25 ultra s938 5g ds 12 256gb titanium whitesilver;{'s938', '256gb', '5g', '12', 'whitesilver', 'titanium', 'galaxy', 'samsung', 'ds', 's25', 'ultra'};8806097022459;SM-S938BZSHEUE
Samsung Galaxy S25 Ultra S938 5G DS 12/512Gb Titanium Black;Galaxy S25 Ultra S938 DS Black;Samsung;512GB;12;5G;Titanium;samsung galaxy s25 ultra s938 5g ds 12 512gb titanium black;{'s938', 'black', '5g', '12', '512gb', 'titanium', 'galaxy', 'samsung', 'ds', 's25', 'ultra'};8806095815718;
Samsung Galaxy S25 Ultra S938 5G DS 12/512Gb Titanium Grey;Galaxy S25 Ultra S938 DS Grey;Samsung;512GB;12;5G;Titanium;samsung galaxy s25 ultra s938 5g ds 12 512gb titanium grey;{'s938', '5g', '12', '512gb', 'titanium', 'grey', 'galaxy', 'samsung', 'ds', 's25', 'ultra'};8806095859910;
Samsung Galaxy S25 Ultra S938 5G DS 12/512Gb Titanium JeTblack;Galaxy S25 Ultra S938 DS JeTblack;Samsung;512GB;12;5G;Titanium;samsung galaxy s25 ultra s938 5g ds 12 512gb titanium jetblack;{'s938', '5g', '12', '512gb', 'titanium', 'jetblack', 'galaxy', 'samsung', 'ds', 's25', 'ultra'};8806095815695;
Samsung Galaxy S25 Ultra S938 5G DS 12/512Gb Titanium Silverblue;Galaxy S25 Ultra S938 DS Silverblue;Samsung;512GB;12;5G;Titanium;samsung galaxy s25 ultra s938 5g ds 12 512gb titanium silverblue;{'s938', '5g', '12', '512gb', 'titanium', 'silverblue', 'galaxy', 'samsung', 'ds', 's25', 'ultra'};8806095862095;
Samsung Galaxy S25 Ultra S938 5G DS 12/512Gb Titanium Whitesilver;Galaxy S25 Ultra S938 DS Whitesilver;Samsung;512GB;12;5G;Titanium;samsung galaxy s25 ultra s938 5g ds 12 512gb titanium whitesilver;{'s938', '5g', '12', 'whitesilver', '512gb', 'titanium', 'galaxy', 'samsung', 'ds', 's25', 'ultra'};8806097022497;
Samsung Galaxy S25+ S936 5G DS 12/256Gb Blueblack;Galaxy S25+ S936 DS Blueblack;Samsung;256GB;12;5G;;samsung galaxy s25+ s936 5g ds 12 256gb blueblack;{'256gb', '5g', '12', 's936', 's25+', 'galaxy', 'samsung', 'ds', 'blueblack'};;
Samsung Galaxy S25+ S936 5G DS 12/256Gb Icy Blue;Galaxy S25+ S936 DS Icy;Samsung;256GB;12;5G;Blue;samsung galaxy s25+ s936 5g ds 12 256gb icy blue;{'256gb', '5g', '12', 'icy', 's936', 's25+', 'galaxy', 'samsung', 'ds', 'blue'};;
Samsung Galaxy S25+ S936 5G DS 12/256Gb Mint;Galaxy S25+ S936 DS;Samsung;256GB;12;5G;Mint;samsung galaxy s25+ s936 5g ds 12 256gb mint;{'256gb', '5g', '12', 's936', 's25+', 'galaxy', 'samsung', 'ds', 'mint'};;
Samsung Galaxy S25+ S936 5G DS 12/256Gb Navy;Galaxy S25+ S936 DS;Samsung;256GB;12;5G;Navy;samsung galaxy s25+ s936 5g ds 12 256gb navy;{'256gb', '5g', '12', 's936', 's25+', 'galaxy', 'samsung', 'ds', 'navy'};;
Samsung Galaxy S25+ S936 5G DS 12/256Gb Silver Shadow;Galaxy S25+ S936 DS Shadow;Samsung;256GB;12;5G;Silver;samsung galaxy s25+ s936 5g ds 12 256gb silver shadow;{'256gb', '5g', '12', 's936', 's25+', 'galaxy', 'samsung', 'ds', 'silver', 'shadow'};;
Samsung Galaxy S25+ S936 5G DS 12/512Gb Blue Black;Galaxy S25+ S936 DS Blue;Samsung;512GB;12;5G;Black;samsung galaxy s25+ s936 5g ds 12 512gb blue black;{'black', '5g', '12', '512gb', 's936', 's25+', 'galaxy', 'samsung', 'ds', 'blue'};8806095815565;
Samsung Galaxy S25+ S936 5G DS 12/512Gb Icy Blue;Galaxy S25+ S936 DS Icy;Samsung;512GB;12;5G;Blue;samsung galaxy s25+ s936 5g ds 12 512gb icy blue;{'icy', '5g', '12', '512gb', 's936', 's25+', 'galaxy', 'samsung', 'ds', 'blue'};8806095857060;
Samsung Galaxy S25+ S936 5G DS 12/512Gb Mint;Galaxy S25+ S936 DS;Samsung;512GB;12;5G;Mint;samsung galaxy s25+ s936 5g ds 12 512gb mint;{'5g', '12', '512gb', 's936', 's25+', 'galaxy', 'samsung', 'ds', 'mint'};;
Samsung Galaxy S25+ S936 5G DS 12/512Gb Navy;Galaxy S25+ S936 DS;Samsung;512GB;12;5G;Navy;samsung galaxy s25+ s936 5g ds 12 512gb navy;{'5g', '12', '512gb', 's936', 's25+', 'galaxy', 'samsung', 'ds', 'navy'};;
Samsung Galaxy S25+ S936 5G DS 12/512Gb Silver Shadow;Galaxy S25+ S936 DS Shadow;Samsung;512GB;12;5G;Silver;samsung galaxy s25+ s936 5g ds 12 512gb silver shadow;{'5g', '12', '512gb', 's936', 's25+', 'galaxy', 'samsung', 'ds', 'silver', 'shadow'};;
Samsung Galaxy Tab A9 X110 8.7 WiFi 4/64Gb Grey;Galaxy Tab A9 X110 8.7;Samsung;64GB;4;WIFI;Grey;samsung galaxy tab a9 x110 8.7 wifi 4 64gb grey;{'wifi', '4', '64gb', 'tab', 'grey', '8.7', 'galaxy', 'samsung', 'a9', 'x110'};8806095305936;
Samsung Galaxy Tab A9 X110 8.7 WiFi 4/64Gb Navy;Galaxy Tab A9 X110 8.7;Samsung;64GB;4;WIFI;Navy;samsung galaxy tab a9 x110 8.7 wifi 4 64gb navy;{'wifi', '4', '64gb', 'tab', '8.7', 'galaxy', 'navy', 'samsung', 'a9', 'x110'};8806095305943;
Samsung Galaxy Tab A9 X110 8.7 WiFi 4/64Gb Silver;Galaxy Tab A9 X110 8.7;Samsung;64GB;4;WIFI;Silver;samsung galaxy tab a9 x110 8.7 wifi 4 64gb silver;{'wifi', '4', '64gb', 'tab', '8.7', 'galaxy', 'samsung', 'silver', 'a9', 'x110'};;
Samsung Galaxy Tab A9 X110 8.7 WiFi 8/128Gb Navy;Galaxy Tab A9 X110 8.7;Samsung;128GB;8;WIFI;Navy;samsung galaxy tab a9 x110 8.7 wifi 8 128gb navy;{'wifi', 'tab', '8.7', '128gb', 'galaxy', 'navy', 'samsung', 'a9', '8', 'x110'};;
Samsung Galaxy Tab A9 X110 8.7 WiFi 8/128Gb Silver;Galaxy Tab A9 X110 8.7;Samsung;128GB;8;WIFI;Silver;samsung galaxy tab a9 x110 8.7 wifi 8 128gb silver;{'wifi', 'tab', '8.7', '128gb', 'galaxy', 'samsung', 'silver', 'a9', '8', 'x110'};;
Samsung Galaxy Tab A9 X115 8.7 LTE 4/64Gb Grey;Galaxy Tab A9 X115 8.7;Samsung;64GB;4;LTE;Grey;samsung galaxy tab a9 x115 8.7 lte 4 64gb grey;{'4', 'lte', '64gb', 'tab', 'grey', '8.7', 'x115', 'galaxy', 'samsung', 'a9'};8806095361543;
Samsung Galaxy Tab A9 X115 8.7 LTE 4/64Gb Navy;Galaxy Tab A9 X115 8.7;Samsung;64GB;4;LTE;Navy;samsung galaxy tab a9 x115 8.7 lte 4 64gb navy;{'4', 'lte', '64gb', 'tab', '8.7', 'x115', 'galaxy', 'samsung', 'navy', 'a9'};;
Samsung Galaxy Tab A9 X115 8.7 LTE 4/64Gb Silver;Galaxy Tab A9 X115 8.7;Samsung;64GB;4;LTE;Silver;samsung galaxy tab a9 x115 8.7 lte 4 64gb silver;{'4', 'lte', '64gb', 'tab', '8.7', 'x115', 'galaxy', 'samsung', 'silver', 'a9'};8806095305950;
Samsung Galaxy Tab A9 X115 8.7 LTE 8/128Gb Grey;Galaxy Tab A9 X115 8.7;Samsung;128GB;8;LTE;Grey;samsung galaxy tab a9 x115 8.7 lte 8 128gb grey;{'lte', 'tab', 'grey', '8.7', '128gb', 'x115', 'galaxy', 'samsung', 'a9', '8'};;
Samsung Galaxy Tab A9+ X210 11.0 WiFi 4/64Gb Grey;Galaxy Tab A9+ X210 11.0;Samsung;64GB;4;WIFI;Grey;samsung galaxy tab a9+ x210 11.0 wifi 4 64gb grey;{'11.0', 'x210', 'wifi', '4', '64gb', 'tab', 'grey', 'galaxy', 'samsung', 'a9+'};;
Samsung Galaxy Tab A9+ X210 11.0 WiFi 4/64Gb Navy;Galaxy Tab A9+ X210 11.0;Samsung;64GB;4;WIFI;Navy;samsung galaxy tab a9+ x210 11.0 wifi 4 64gb navy;{'11.0', 'x210', 'wifi', '4', '64gb', 'tab', 'galaxy', 'navy', 'samsung', 'a9+'};;
Samsung Galaxy Tab A9+ X210 11.0 WiFi 4/64Gb Silver;Galaxy Tab A9+ X210 11.0;Samsung;64GB;4;WIFI;Silver;samsung galaxy tab a9+ x210 11.0 wifi 4 64gb silver;{'11.0', 'x210', 'wifi', '4', '64gb', 'tab', 'galaxy', 'samsung', 'silver', 'a9+'};;
Samsung Galaxy Tab A9+ X210 11.0 WiFi 6/128Gb Grey;Galaxy Tab A9+ X210 11.0;Samsung;128GB;6;WIFI;Grey;samsung galaxy tab a9+ x210 11.0 wifi 6 128gb grey;{'11.0', 'x210', 'wifi', '6', 'tab', 'grey', '128gb', 'galaxy', 'samsung', 'a9+'};8806097462750;
Samsung Galaxy Tab A9+ X210 11.0 WiFi 8/128Gb Grey;Galaxy Tab A9+ X210 11.0;Samsung;128GB;8;WIFI;Grey;samsung galaxy tab a9+ x210 11.0 wifi 8 128gb grey;{'11.0', 'x210', 'wifi', 'tab', 'grey', '128gb', 'galaxy', 'samsung', '8', 'a9+'};8806095306254;
Samsung Galaxy Tab A9+ X210 11.0 WiFi 8/128Gb Navy;Galaxy Tab A9+ X210 11.0;Samsung;128GB;8;WIFI;Navy;samsung galaxy tab a9+ x210 11.0 wifi 8 128gb navy;{'11.0', 'x210', 'wifi', 'tab', '128gb', 'galaxy', 'navy', 'samsung', '8', 'a9+'};;
Samsung Galaxy Tab A9+ X210 11.0 WiFi 8/128Gb Silver;Galaxy Tab A9+ X210 11.0;Samsung;128GB;8;WIFI;Silver;samsung galaxy tab a9+ x210 11.0 wifi 8 128gb silver;{'11.0', 'x210', 'wifi', 'tab', '128gb', 'galaxy', 'samsung', 'silver', '8', 'a9+'};;
Samsung Galaxy Tab A9+ X210 11.0 WiFi 8/256Gb Grey;Galaxy Tab A9+ X210 11.0;Samsung;256GB;8;WIFI;Grey;samsung galaxy tab a9+ x210 11.0 wifi 8 256gb grey;{'11.0', '256gb', 'x210', 'wifi', 'tab', 'grey', 'galaxy', 'samsung', '8', 'a9+'};8806097462682;
Samsung Galaxy Tab A9+ X216 5G 11.0 4/64Gb Graphite;Galaxy Tab A9+ X216 11.0;Samsung;64GB;4;5G;Graphite;samsung galaxy tab a9+ x216 5g 11.0 4 64gb graphite;{'11.0', '5g', '4', 'graphite', '64gb', 'tab', 'galaxy', 'x216', 'samsung', 'a9+'};;
Samsung Galaxy Tab A9+ X216 5G 11.0 4/64Gb Navy;Galaxy Tab A9+ X216 11.0;Samsung;64GB;4;5G;Navy;samsung galaxy tab a9+ x216 5g 11.0 4 64gb navy;{'11.0', '5g', '4', '64gb', 'tab', 'galaxy', 'x216', 'samsung', 'navy', 'a9+'};;
Samsung Galaxy Tab A9+ X216 5G 11.0 4/64Gb Silver;Galaxy Tab A9+ X216 11.0;Samsung;64GB;4;5G;Silver;samsung galaxy tab a9+ x216 5g 11.0 4 64gb silver;{'11.0', '5g', '4', '64gb', 'tab', 'galaxy', 'x216', 'samsung', 'silver', 'a9+'};;
Samsung Galaxy Tab A9+ X216 5G 11.0 6/128Gb Graphite;Galaxy Tab A9+ X216 11.0;Samsung;128GB;6;5G;Graphite;samsung galaxy tab a9+ x216 5g 11.0 6 128gb graphite;{'11.0', '5g', '6', 'graphite', 'tab', '128gb', 'galaxy', 'x216', 'samsung', 'a9+'};;
Samsung Galaxy Tab A9+ X216 5G 11.0 6/128Gb Navy;Galaxy Tab A9+ X216 11.0;Samsung;128GB;6;5G;Navy;samsung galaxy tab a9+ x216 5g 11.0 6 128gb navy;{'11.0', '5g', '6', 'tab', '128gb', 'galaxy', 'x216', 'samsung', 'navy', 'a9+'};;
Samsung Galaxy Tab A9+ X216 5G 11.0 6/128Gb Silver;Galaxy Tab A9+ X216 11.0;Samsung;128GB;6;5G;Silver;samsung galaxy tab a9+ x216 5g 11.0 6 128gb silver;{'11.0', '5g', '6', 'tab', '128gb', 'galaxy', 'x216', 'samsung', 'silver', 'a9+'};;
Samsung Galaxy Tab A9+ X216 5G 11.0 8/128Gb Silver;Galaxy Tab A9+ X216 11.0;Samsung;128GB;8;5G;Silver;samsung galaxy tab a9+ x216 5g 11.0 8 128gb silver;{'11.0', '5g', 'tab', '128gb', 'galaxy', 'x216', 'samsung', 'silver', '8', 'a9+'};;
Samsung Galaxy Tab Active 4 Pro T636 10.1 5G 4/64Gb Enterprise Edition Black;Galaxy Tab Active 4 Pro T636 10.1 Enterprise Edition;Samsung;64GB;4;5G;Black;samsung galaxy tab active 4 pro t636 10.1 5g 4 64gb enterprise edition black;{'black', '5g', 'enterprise', '4', '64gb', 'tab', 't636', 'galaxy', 'samsung', '10.1', 'pro', 'edition', 'active'};8806094714081;
Samsung Galaxy Tab Active 4 Pro T636 10.1 5G 6/128Gb Enterprise Edition Black;Galaxy Tab Active 4 Pro T636 10.1 Enterprise Edition;Samsung;128GB;6;5G;Black;samsung galaxy tab active 4 pro t636 10.1 5g 6 128gb enterprise edition black;{'black', '5g', 'enterprise', '4', '6', 'tab', '128gb', 't636', 'galaxy', 'samsung', '10.1', 'pro', 'edition', 'active'};8806097103271;
Samsung Galaxy Tab Active 5 Pro X350 10.1 WiFi 6/128Gb Enterprise Edition Green;Galaxy Tab Active 5 Pro X350 10.1 Enterprise Edition;Samsung;128GB;6;WIFI;Green;samsung galaxy tab active 5 pro x350 10.1 wifi 6 128gb enterprise edition green;{'x350', 'green', 'enterprise', 'wifi', '6', 'tab', '128gb', 'galaxy', 'samsung', '10.1', 'pro', '5', 'edition', 'active'};8806097100690;SM-X350NZGAEEB
Samsung Galaxy Tab Active 5 Pro X356 10.1 5G 6/128Gb Enterprise Edition Green;Galaxy Tab Active 5 Pro X356 10.1 Enterprise Edition;Samsung;128GB;6;5G;Green;samsung galaxy tab active 5 pro x356 10.1 5g 6 128gb enterprise edition green;{'green', '5g', 'enterprise', '6', 'tab', '128gb', 'galaxy', 'samsung', '10.1', 'x356', 'pro', '5', 'edition', 'active'};8806097103196;SM-X356B
Samsung Galaxy Tab Active 5 Pro X356 10.1 5G 8/256Gb Enterprise Edition Green;Galaxy Tab Active 5 Pro X356 10.1 Enterprise Edition;Samsung;256GB;8;5G;Green;samsung galaxy tab active 5 pro x356 10.1 5g 8 256gb enterprise edition green;{'edition', '256gb', '5g', 'green', 'enterprise', 'tab', 'galaxy', 'samsung', '10.1', 'x356', 'pro', '5', '8', 'active'};8806097103172;
Samsung Galaxy Tab Active 5 X306 8.0 5G 6/128Gb Enterprise Edition Green/Black;Galaxy Tab Active 5 X306 8.0 Enterprise Edition /Black;Samsung;128GB;6;5G;Green;samsung galaxy tab active 5 x306 8.0 5g 6 128gb enterprise edition green black;{'black', 'green', '5g', 'enterprise', '6', '8.0', 'tab', '128gb', 'galaxy', 'samsung', 'x306', '5', 'edition', 'active'};8806095466934;
Samsung Galaxy Tab Active 5 X306 8.0 5G 8/256Gb Enterprise Edition Green/Black;Galaxy Tab Active 5 X306 8.0 Enterprise Edition /Black;Samsung;256GB;8;5G;Green;samsung galaxy tab active 5 x306 8.0 5g 8 256gb enterprise edition green black;{'black', 'edition', '256gb', '5g', 'green', 'enterprise', '8.0', 'tab', 'galaxy', 'samsung', 'x306', '5', '8', 'active'};8806095466965;
Samsung Galaxy Tab S10 FE X520B Wifi 10.9 12/256Gb Grey;Galaxy Tab S10 FE X520B 10.9;Samsung;256GB;12;WIFI;Grey;samsung galaxy tab s10 fe x520b wifi 10.9 12 256gb grey;{'x520b', '256gb', '12', '10.9', 'wifi', 'tab', 'grey', 'galaxy', 'samsung', 'fe', 's10'};;
Samsung Galaxy Tab S10 FE X520B Wifi 10.9 12/256Gb Silver;Galaxy Tab S10 FE X520B 10.9;Samsung;256GB;12;WIFI;Silver;samsung galaxy tab s10 fe x520b wifi 10.9 12 256gb silver;{'x520b', '256gb', '12', '10.9', 'wifi', 'tab', 'galaxy', 'samsung', 'silver', 'fe', 's10'};;
Samsung Galaxy Tab S10 FE X520B Wifi 10.9 8/128Gb Blue;Galaxy Tab S10 FE X520B 10.9;Samsung;128GB;8;WIFI;Blue;samsung galaxy tab s10 fe x520b wifi 10.9 8 128gb blue;{'x520b', '10.9', 'wifi', 'tab', '128gb', 'galaxy', 'samsung', 'blue', 'fe', '8', 's10'};;
Samsung Galaxy Tab S10 FE X520B Wifi 10.9 8/128Gb Grey;Galaxy Tab S10 FE X520B 10.9;Samsung;128GB;8;WIFI;Grey;samsung galaxy tab s10 fe x520b wifi 10.9 8 128gb grey;{'x520b', '10.9', 'wifi', 'tab', 'grey', '128gb', 'galaxy', 'samsung', 'fe', '8', 's10'};;SM-X520NZAREUE
Samsung Galaxy Tab S10 FE X520B Wifi 10.9 8/128Gb Silver;Galaxy Tab S10 FE X520B 10.9;Samsung;128GB;8;WIFI;Silver;samsung galaxy tab s10 fe x520b wifi 10.9 8 128gb silver;{'x520b', '10.9', 'wifi', 'tab', '128gb', 'galaxy', 'samsung', 'silver', 'fe', '8', 's10'};8806097638353;
Samsung Galaxy Tab S10 FE X526 5G 10.9 8/128Gb Grey;Galaxy Tab S10 FE X526 10.9;Samsung;128GB;8;5G;Grey;samsung galaxy tab s10 fe x526 5g 10.9 8 128gb grey;{'5g', '10.9', 'tab', 'grey', '128gb', 'galaxy', 'samsung', 'fe', '8', 's10', 'x526'};;
Samsung Galaxy Tab S10 FE X526B 5G 10.9 12/256Gb Blue;Galaxy Tab S10 FE X526B 10.9;Samsung;256GB;12;5G;Blue;samsung galaxy tab s10 fe x526b 5g 10.9 12 256gb blue;{'256gb', '5g', '12', '10.9', 'tab', 'galaxy', 'x526b', 'samsung', 'blue', 'fe', 's10'};;
Samsung Galaxy Tab S10 FE X526B 5G 10.9 12/256Gb Grey;Galaxy Tab S10 FE X526B 10.9;Samsung;256GB;12;5G;Grey;samsung galaxy tab s10 fe x526b 5g 10.9 12 256gb grey;{'256gb', '5g', '12', '10.9', 'tab', 'grey', 'galaxy', 'x526b', 'samsung', 'fe', 's10'};;SM-X526BZAREUE
Samsung Galaxy Tab S10 FE X526B 5G 10.9 12/256Gb Silver;Galaxy Tab S10 FE X526B 10.9;Samsung;256GB;12;5G;Silver;samsung galaxy tab s10 fe x526b 5g 10.9 12 256gb silver;{'256gb', '5g', '12', '10.9', 'tab', 'galaxy', 'x526b', 'samsung', 'silver', 'fe', 's10'};8806097201816;SM-X526BZSREUE
Samsung Galaxy Tab S10 FE X526B 5G 10.9 8/128Gb Blue;Galaxy Tab S10 FE X526B 10.9;Samsung;128GB;8;5G;Blue;samsung galaxy tab s10 fe x526b 5g 10.9 8 128gb blue;{'5g', '10.9', 'tab', '128gb', 'galaxy', 'x526b', 'samsung', 'blue', 'fe', '8', 's10'};;
Samsung Galaxy Tab S10 FE X526B 5G 10.9 8/128Gb Grey;Galaxy Tab S10 FE X526B 10.9;Samsung;128GB;8;5G;Grey;samsung galaxy tab s10 fe x526b 5g 10.9 8 128gb grey;{'5g', '10.9', 'tab', 'grey', '128gb', 'galaxy', 'x526b', 'samsung', 'fe', '8', 's10'};8806097201885;SM-X526BZAPEUB
Samsung Galaxy Tab S10 FE+ X620B Wifi 13 12/256Gb Grey;Galaxy Tab S10 FE+ X620B 13;Samsung;256GB;12;WIFI;Grey;samsung galaxy tab s10 fe+ x620b wifi 13 12 256gb grey;{'256gb', '12', 'wifi', 'fe+', 'tab', 'grey', 'galaxy', 'samsung', '13', 'x620b', 's10'};8806097197584;
Samsung Galaxy Tab S10 FE+ X620B Wifi 13 12/256Gb Silver;Galaxy Tab S10 FE+ X620B 13;Samsung;256GB;12;WIFI;Silver;samsung galaxy tab s10 fe+ x620b wifi 13 12 256gb silver;{'256gb', '12', 'wifi', 'fe+', 'tab', 'galaxy', 'samsung', 'silver', '13', 'x620b', 's10'};8806097197119;
Samsung Galaxy Tab S10 FE+ X620B Wifi 13 8/128Gb Blue;Galaxy Tab S10 FE+ X620B 13;Samsung;128GB;8;WIFI;Blue;samsung galaxy tab s10 fe+ x620b wifi 13 8 128gb blue;{'wifi', 'fe+', 'tab', '128gb', 'galaxy', 'samsung', 'blue', '13', '8', 'x620b', 's10'};8806097197508;
Samsung Galaxy Tab S10 FE+ X620B Wifi 13 8/128Gb Grey;Galaxy Tab S10 FE+ X620B 13;Samsung;128GB;8;WIFI;Grey;samsung galaxy tab s10 fe+ x620b wifi 13 8 128gb grey;{'wifi', 'fe+', 'tab', 'grey', '128gb', 'galaxy', 'samsung', '13', '8', 'x620b', 's10'};8806097197485;
Samsung Galaxy Tab S10 FE+ X620B Wifi 13 8/128Gb Silver;Galaxy Tab S10 FE+ X620B 13;Samsung;128GB;8;WIFI;Silver;samsung galaxy tab s10 fe+ x620b wifi 13 8 128gb silver;{'wifi', 'fe+', 'tab', '128gb', 'galaxy', 'samsung', 'silver', '13', '8', 'x620b', 's10'};;SM-X620NZSREUE
Samsung Galaxy Tab S10 FE+ X626B 5G 13 8/128Gb Blue;Galaxy Tab S10 FE+ X626B 13;Samsung;128GB;8;5G;Blue;samsung galaxy tab s10 fe+ x626b 5g 13 8 128gb blue;{'5g', 'x626b', 'fe+', 'tab', '128gb', 'galaxy', 'samsung', 'blue', '13', '8', 's10'};;
Samsung Galaxy Tab S10 FE+ X626B 5G 13 8/128Gb Grey;Galaxy Tab S10 FE+ X626B 13;Samsung;128GB;8;5G;Grey;samsung galaxy tab s10 fe+ x626b 5g 13 8 128gb grey;{'5g', 'x626b', 'fe+', 'tab', 'grey', '128gb', 'galaxy', 'samsung', '13', '8', 's10'};8806097193586;
Samsung Galaxy Tab S10 FE+ X626B 5G 13 8/128Gb Silver;Galaxy Tab S10 FE+ X626B 13;Samsung;128GB;8;5G;Silver;samsung galaxy tab s10 fe+ x626b 5g 13 8 128gb silver;{'5g', 'x626b', 'fe+', 'tab', '128gb', 'galaxy', 'samsung', 'silver', '13', '8', 's10'};;
Samsung Galaxy Tab S10 Ultra X920B WiFi 14.6 12/256Gb Silver;Galaxy Tab S10 Ultra X920B 14.6;Samsung;256GB;12;WIFI;Silver;samsung galaxy tab s10 ultra x920b wifi 14.6 12 256gb silver;{'14.6', '12', '256gb', 'wifi', 'tab', 'x920b', 'galaxy', 'samsung', 'silver', 's10', 'ultra'};8806095596921;
Samsung Galaxy Tab S10 Ultra X920B WiFi 14.6 12/512Gb Grey;Galaxy Tab S10 Ultra X920B 14.6;Samsung;512GB;12;WIFI;Grey;samsung galaxy tab s10 ultra x920b wifi 14.6 12 512gb grey;{'14.6', '12', '512gb', 'wifi', 'tab', 'x920b', 'grey', 'galaxy', 'samsung', 's10', 'ultra'};8806095596938;
Samsung Galaxy Tab S10 Ultra X920B WiFi 14.6 12/512Gb Silver;Galaxy Tab S10 Ultra X920B 14.6;Samsung;512GB;12;WIFI;Silver;samsung galaxy tab s10 ultra x920b wifi 14.6 12 512gb silver;{'14.6', '12', '512gb', 'wifi', 'tab', 'x920b', 'galaxy', 'samsung', 'silver', 's10', 'ultra'};;
Samsung Galaxy Tab S10 Ultra X920B WiFi 14.6 16/1Tb Grey;Galaxy Tab S10 Ultra X920B 14.6;Samsung;1TB;16;WIFI;Grey;samsung galaxy tab s10 ultra x920b wifi 14.6 16 1tb grey;{'16', '14.6', 'wifi', '1tb', 'tab', 'x920b', 'grey', 'galaxy', 'samsung', 's10', 'ultra'};;
Samsung Galaxy Tab S10 Ultra X920B WiFi 14.6 16/1Tb Silver;Galaxy Tab S10 Ultra X920B 14.6;Samsung;1TB;16;WIFI;Silver;samsung galaxy tab s10 ultra x920b wifi 14.6 16 1tb silver;{'16', '14.6', 'wifi', '1tb', 'tab', 'x920b', 'galaxy', 'samsung', 'silver', 's10', 'ultra'};;
Samsung Galaxy Tab S10 Ultra X926B 5G 14.6 12/256Gb Grey;Galaxy Tab S10 Ultra X926B 14.6;Samsung;256GB;12;5G;Grey;samsung galaxy tab s10 ultra x926b 5g 14.6 12 256gb grey;{'14.6', '5g', '12', '256gb', 'tab', 'grey', 'galaxy', 'samsung', 's10', 'ultra', 'x926b'};8806095089874;
Samsung Galaxy Tab S10 Ultra X926B 5G 14.6 12/256Gb Silver;Galaxy Tab S10 Ultra X926B 14.6;Samsung;256GB;12;5G;Silver;samsung galaxy tab s10 ultra x926b 5g 14.6 12 256gb silver;{'14.6', '5g', '12', '256gb', 'tab', 'galaxy', 'samsung', 'silver', 's10', 'ultra', 'x926b'};8806095601946;
Samsung Galaxy Tab S10 Ultra X926B 5G 14.6 12/512Gb Silver;Galaxy Tab S10 Ultra X926B 14.6;Samsung;512GB;12;5G;Silver;samsung galaxy tab s10 ultra x926b 5g 14.6 12 512gb silver;{'14.6', '5g', '12', '512gb', 'tab', 'galaxy', 'samsung', 'silver', 's10', 'ultra', 'x926b'};;
